FEEDER,FEEDER,INSTALL_DATE,SUBSTATION,COUNTY,KV,AREA,TYPE,CUSTOMERS,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,AFS,CAPBANK,3PH_OCR,1PH_OCR,FDR_OH,FDR_UG,LAT_OH,LAT_UG,POLE_COUNT,REGION,RELAY,AFS_SCHEME,HARDENING,FI,HAS_AFS,HAS_AFS_OCR,IS_DADE,HAS_INDUSTRIAL,LENGTH,PCT_UG,OH_FDR,UG_FDR,HYBRID,CEMM35_FEEDER,4N+_FEEDER
101032,101032,1961-11-01 00:00:00+00:00,HOLLY HILL,Volusia,13.2,CF,Hybrid,1241,1193,45,3,0,2,0,0,2.6,1.9,5.7,0.9,263.774,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.5,0,0,0,1,False,False
101033,101033,1964-06-01 00:00:00+00:00,HOLLY HILL,Volusia,13.2,CF,Hybrid,890,791,96,3,0,2,0,0,4.4,1.4,3.9,1.1,263.774,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,5.8,0,0,0,1,False,False
101034,101034,1967-06-01 00:00:00+00:00,HOLLY HILL,Volusia,13.2,CF,Hybrid,1614,1478,133,3,0,4,0,0,4.3,0.0,6.7,5.1,349.58,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.3,0,1,0,0,False,False
101035,101035,1970-06-01 00:00:00+00:00,HOLLY HILL,Volusia,13.2,CF,Hybrid,776,667,107,2,0,3,0,0,1.4,2.9,1.3,2.1,85.806,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.3,1,0,0,1,False,False
101036,101036,1972-07-01 00:00:00+00:00,HOLLY HILL,Volusia,13.2,CF,Hybrid,1910,1423,486,1,0,2,0,0,5.6,0.2,9.7,1.3,486.234,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,0,0,1,5.8,0,1,0,0,False,False
101037,101037,1977-07-01 00:00:00+00:00,HOLLY HILL,Volusia,13.2,CF,Hybrid,1776,1578,195,3,0,5,0,0,3.4,0.3,12.0,1.9,489.412,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.7,0,1,0,0,False,False
101038,101038,2000-01-10 00:00:00+00:00,HOLLY HILL,Volusia,13.2,CF,Hybrid,1319,967,350,2,0,3,0,0,4.3,0.3,8.6,0.7,409.962,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.6,0,1,0,0,False,False
101131,101131,1951-08-01 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,1339,1275,63,1,0,3,0,0,4.0,0.5,12.4,0.6,521.192,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.5,0,1,0,0,False,False
101132,101132,1951-08-01 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,840,678,159,3,1,3,0,0,3.0,2.7,3.5,2.7,206.57,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,1,1,0,1,5.7,0,0,0,1,False,False
101133,101133,1962-07-01 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,1443,1116,326,1,0,2,0,0,3.8,0.0,4.5,6.4,263.774,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.8,0,1,0,0,False,False
101134,101134,1967-07-01 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,1869,1795,74,0,0,5,0,0,4.8,1.4,7.7,5.8,397.25,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,0,6.2,0,0,0,1,False,False
101135,101135,1972-07-01 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,1178,1100,78,0,0,2,0,0,2.6,0.1,1.1,11.5,117.586,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,0,2.7,0,1,0,0,False,False
101136,101136,1977-07-01 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,1466,1279,185,2,0,3,1,0,3.4,0.0,2.3,10.0,181.146,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,1,0,1,3.4,0,1,0,0,False,False
101137,101137,1981-11-16 00:00:00+00:00,ORMOND,Volusia,13.2,CF,Hybrid,2303,2206,96,1,0,3,2,0,6.4,1.3,10.2,4.4,527.548,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,1,0,1,7.7,0,1,0,0,False,False
